Order_ID,Customer_Name,Region,Sales,Quantity,Order_Date
101,Alice,North,5000,2,2024-01-05
102,Bob,South,,3,2024-01-06
103,Charlie,East,7000,1,2024-01-07
104,Alice,North,5000,2,2024-01-05
105,,West,4500,2,2024-01-08
106,David,South,abc,1,2024-01-09
107,Eva,East,6000,,2024-01-10
108,Frank,North,5500,2,
109,Grace,South,7200,3,2024-01-11
110,Henry,North,4800,2,2024-01-12
111,Ivy,East,,1,2024-01-13
112,Jack,West,5300,,2024-01-14
113,Kate,South,6100,2,
114,Leo,North,abc,3,2024-01-15
115,Mia,East,6900,2,2024-01-16
116,Nick,West,4500,1,2024-01-17
117,Olivia,South,7200,3,2024-01-11
118,Paul,,5000,2,2024-01-18
119,Quinn,North,5800,2,2024-01-19
120,Rachel,East,6200,1,2024-01-20
121,Sam,South,7000,3,2024-01-21
122,Tina,West,,2,2024-01-22
123,Uma,North,5400,2,2024-01-23
124,Victor,East,6100,1,2024-01-24
125,Wendy,South,6800,,2024-01-25
126,Xavier,West,4900,2,2024-01-26
127,Yara,North,5200,2,2024-01-27
128,Zack,East,abc,1,2024-01-28
